"filename", "language", "Markdown", "TypeScript", "JSON", "MS SQL", "JSON with Comments", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"d:\Сайты\Nodes\QWEN.md", "Markdown", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 111
"d:\Сайты\Nodes\README.md", "Markdown", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 92
"d:\Сайты\Nodes\docs\PROGRESS.md", "Markdown", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 200
"d:\Сайты\Nodes\docs\deploy-vercel.md", "Markdown", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 148
"d:\Сайты\Nodes\docs\plan.md", "Markdown", 870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 1091
"d:\Сайты\Nodes\docs\supabase-schema.sql", "MS SQL", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 45, 28, 209
"d:\Сайты\Nodes\nodes-frontend\README.md", "Markdown", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 106
"d:\Сайты\Nodes\nodes-frontend\SETUP.md", "Markdown", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 148
"d:\Сайты\Nodes\nodes-frontend\components.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Сайты\Nodes\nodes-frontend\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"d:\Сайты\Nodes\nodes-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 1, 2, 22
"d:\Сайты\Nodes\nodes-frontend\package-lock.json", "JSON", 0, 0, 5639, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5640
"d:\Сайты\Nodes\nodes-frontend\package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\Сайты\Nodes\nodes-frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\Сайты\Nodes\nodes-frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
