Date : 2026-03-02 09:35:07
Directory : d:\Сайты\Nodes
Total : 112 files,  17604 codes, 5304 comments, 1780 blanks, all 24688 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          8 |      8,406 |          5 |         13 |      8,424 |
| TypeScript JSX     |         49 |      4,410 |        222 |        556 |      5,188 |
| Markdown           |         18 |      1,837 |          0 |        506 |      2,343 |
| TypeScript         |         18 |      1,152 |        168 |        238 |      1,558 |
| Skill              |          7 |        887 |          0 |        316 |      1,203 |
| MS SQL             |          2 |        400 |        106 |         91 |        597 |
| PostCSS            |          2 |        302 |          9 |         32 |        343 |
| HTML               |          2 |        157 |      4,793 |         23 |      4,973 |
| JavaScript         |          3 |         38 |          1 |          4 |         43 |
| JSON with Comments |          1 |         13 |          0 |          1 |         14 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        112 |     17,604 |      5,304 |      1,780 |     24,688 |
| . (Files)                                                                                   |          2 |        202 |          0 |         70 |        272 |
| .agents                                                                                     |         12 |      1,042 |          0 |        353 |      1,395 |
| .agents\rules                                                                               |          1 |        151 |          0 |         33 |        184 |
| .agents\skills                                                                              |         11 |        891 |          0 |        320 |      1,211 |
| .agents\skills\brainstorm                                                                   |          1 |         73 |          0 |         23 |         96 |
| .agents\skills\executing-plans                                                              |          1 |         62 |          0 |         23 |         85 |
| .agents\skills\systematic-debugging                                                         |          4 |        223 |          0 |         80 |        303 |
| .agents\skills\test-driven-development                                                      |          2 |        280 |          0 |         94 |        374 |
| .agents\skills\using-superpowers                                                            |          1 |         70 |          0 |         26 |         96 |
| .agents\skills\verification-before-completion                                               |          1 |        106 |          0 |         34 |        140 |
| .agents\skills\writing-plans                                                                |          1 |         77 |          0 |         40 |        117 |
| docs                                                                                        |         13 |      1,809 |        106 |        464 |      2,379 |
| docs (Files)                                                                                |         12 |      1,768 |        106 |        456 |      2,330 |
| docs\plans                                                                                  |          1 |         41 |          0 |          8 |         49 |
| nodes-frontend                                                                              |         85 |     14,551 |      5,198 |        893 |     20,642 |
| nodes-frontend (Files)                                                                      |         16 |      8,729 |      4,800 |         71 |     13,600 |
| nodes-frontend\public                                                                       |          1 |          1 |          0 |          0 |          1 |
| nodes-frontend\src                                                                          |         68 |      5,821 |        398 |        822 |      7,041 |
| nodes-frontend\src (Files)                                                                  |          4 |        394 |         14 |         44 |        452 |
| nodes-frontend\src\assets                                                                   |          1 |          1 |          0 |          0 |          1 |
| nodes-frontend\src\components                                                               |         14 |        654 |          1 |        106 |        761 |
| nodes-frontend\src\components (Files)                                                       |          2 |         90 |          0 |         15 |        105 |
| nodes-frontend\src\components\ui                                                            |         12 |        564 |          1 |         91 |        656 |
| nodes-frontend\src\config                                                                   |          1 |          6 |          1 |          1 |          8 |
| nodes-frontend\src\features                                                                 |         22 |      3,035 |        265 |        384 |      3,684 |
| nodes-frontend\src\features\connectors                                                      |          1 |         71 |          9 |         15 |         95 |
| nodes-frontend\src\features\dashboard                                                       |          3 |        241 |          3 |         29 |        273 |
| nodes-frontend\src\features\dashboard\components                                            |          3 |        241 |          3 |         29 |        273 |
| nodes-frontend\src\features\nodes                                                           |         18 |      2,723 |        253 |        340 |      3,316 |
| nodes-frontend\src\features\nodes (Files)                                                   |          1 |        344 |         52 |         75 |        471 |
| nodes-frontend\src\features\nodes\__tests__                                                 |          1 |         72 |         10 |         20 |        102 |
| nodes-frontend\src\features\nodes\components                                                |         15 |      2,278 |        176 |        235 |      2,689 |
| nodes-frontend\src\features\nodes\components (Files)                                        |         11 |      1,554 |        132 |        143 |      1,829 |
| nodes-frontend\src\features\nodes\components\__tests__                                      |          1 |        111 |         12 |         30 |        153 |
| nodes-frontend\src\features\nodes\components\controls                                       |          3 |        613 |         32 |         62 |        707 |
| nodes-frontend\src\features\nodes\lib                                                       |          1 |         29 |         15 |         10 |         54 |
| nodes-frontend\src\hooks                                                                    |          2 |         46 |          3 |         13 |         62 |
| nodes-frontend\src\lib                                                                      |          3 |        147 |          8 |          8 |        163 |
| nodes-frontend\src\pages                                                                    |          8 |        727 |         28 |         82 |        837 |
| nodes-frontend\src\store                                                                    |          4 |        323 |         36 |         75 |        434 |
| nodes-frontend\src\store (Files)                                                            |          2 |        159 |         20 |         32 |        211 |
| nodes-frontend\src\store\__tests__                                                          |          2 |        164 |         16 |         43 |        223 |
| nodes-frontend\src\tests                                                                    |          6 |        319 |          4 |         80 |        403 |
| nodes-frontend\src\types                                                                    |          1 |         55 |         31 |         13 |         99 |
| nodes-frontend\src\widgets                                                                  |          2 |        114 |          7 |         16 |        137 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                    | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Сайты\Nodes\.agents\rules\rule.md                                                        | Markdown           |        151 |          0 |         33 |        184 |
| d:\Сайты\Nodes\.agents\skills\brainstorm\SKILL.md                                           | Skill              |         73 |          0 |         23 |         96 |
| d:\Сайты\Nodes\.agents\skills\executing-plans\SKILL.md                                      | Skill              |         62 |          0 |         23 |         85 |
