"filename", "language", "JSON", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "PostCSS", "HTML", "XML", "MS SQL", "Python", "Skill", "comment", "blank", "total"
"e:\Сайты\Nodes\.agents\rules\rule.md", "Markdown", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 184
"e:\Сайты\Nodes\.agents\skills\brainstorm\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 23, 96
"e:\Сайты\Nodes\.agents\skills\executing-plans\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 23, 85
"e:\Сайты\Nodes\.agents\skills\systematic-debugging\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 77, 297
"e:\Сайты\Nodes\.agents\skills\systematic-debugging\condition-based-waiting.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Сайты\Nodes\.agents\skills\systematic-debugging\defense-in-depth.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Сайты\Nodes\.agents\skills\systematic-debugging\root-cause-tracing.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Сайты\Nodes\.agents\skills\test-driven-development\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 279, 0, 93, 372
"e:\Сайты\Nodes\.agents\skills\test-driven-development\testing-anti-patterns.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Сайты\Nodes\.agents\skills\using-superpowers\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 26, 96
"e:\Сайты\Nodes\.agents\skills\verification-before-completion\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 34, 140
"e:\Сайты\Nodes\.agents\skills\writing-plans\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 40, 117
"e:\Сайты\Nodes\README.md", "Markdown", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 263
"e:\Сайты\Nodes\docs\APP_STRUCTURE.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"e:\Сайты\Nodes\docs\CONCEPT.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"e:\Сайты\Nodes\docs\GUIDES.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 53
"e:\Сайты\Nodes\docs\OPTIMIZATION_PLAN.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 62
"e:\Сайты\Nodes\docs\PROGRESS.md", "Markdown", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 200
"e:\Сайты\Nodes\docs\ROADMAP.md", "Markdown", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 112
"e:\Сайты\Nodes\docs\TECHNICAL.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"e:\Сайты\Nodes\docs\plan.md", "Markdown", 0, 870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 1091
"e:\Сайты\Nodes\docs\plans\2026-02-28-inbox-design.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 49
"e:\Сайты\Nodes\docs\plans\2026-03-06-architecture-refactoring.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 95
"e:\Сайты\Nodes\docs\plans\2026-03-06-cores-moc-logic-design.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 57
"e:\Сайты\Nodes\docs\plans\2026-03-06-cores-moc-plan.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 147
"e:\Сайты\Nodes\docs\plans\2026-03-06-graph-visualization-design.md", "Markdown", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 154
"e:\Сайты\Nodes\docs\plans\2026-03-06-graph-visualization-plan.md", "Markdown", 0, 608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 776
"e:\Сайты\Nodes\docs\plans\2026-03-06-personalization-and-integrations-design.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"e:\Сайты\Nodes\docs\supabase-schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 52, 33, 252
