Date : 2026-04-12 19:50:28
Directory : e:\Сайты\Nodes
Total : 156 files,  20759 codes, 5541 comments, 2301 blanks, all 28601 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |      8,982 |          5 |         14 |      9,001 |
| TypeScript JSX     |         58 |      5,269 |        248 |        651 |      6,168 |
| Markdown           |         22 |      2,783 |          0 |        749 |      3,532 |
| TypeScript         |         33 |      1,685 |        319 |        328 |      2,332 |
| Skill              |          7 |        887 |          0 |        316 |      1,203 |
| Python             |         16 |        474 |        114 |        150 |        738 |
| PostCSS            |          2 |        302 |          9 |         32 |        343 |
| MS SQL             |          1 |        167 |         52 |         33 |        252 |
| HTML               |          2 |        157 |      4,793 |         23 |      4,973 |
| JavaScript         |          3 |         38 |          1 |          4 |         43 |
| JSON with Comments |          1 |         13 |          0 |          1 |         14 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        156 |     20,759 |      5,541 |      2,301 |     28,601 |
| . (Files)                                                                                   |          2 |        202 |          0 |         70 |        272 |
| .agents                                                                                     |         12 |      1,042 |          0 |        353 |      1,395 |
| .agents\rules                                                                               |          1 |        151 |          0 |         33 |        184 |
| .agents\skills                                                                              |         11 |        891 |          0 |        320 |      1,211 |
| .agents\skills\brainstorm                                                                   |          1 |         73 |          0 |         23 |         96 |
| .agents\skills\executing-plans                                                              |          1 |         62 |          0 |         23 |         85 |
| .agents\skills\systematic-debugging                                                         |          4 |        223 |          0 |         80 |        303 |
| .agents\skills\test-driven-development                                                      |          2 |        280 |          0 |         94 |        374 |
